system:index,Blue,Green,NDSI,NDVI,NDWI,NIR,Red,SWIR1,SWIR2,Thermal,class,random,.geo
1_1_1_1_11_0,0.5753075000000001,0.62049,0.9481505,-0.033222128,0.022925321,0.56538,0.65415,0.013344999999999996,0.013812500000000005,274.72844768,0,0.49173894005210417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_11_1,0.5639775,0.6020924999999999,0.9370749,-0.03592337,0.02859845,0.5346900000000001,0.6294550000000001,0.013097499999999984,0.013729999999999992,274.7489558,0,0.28755161019009035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_11_2,0.52248,0.5464325000000001,0.9066546,-0.04048855,0.035545014,0.4919275,0.5758574999999999,0.012107499999999993,0.012877499999999986,274.79339006,0,0.5625797737133658,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_11_3,0.52248,0.5464325000000001,0.9066546,-0.04048855,0.035545014,0.4919275,0.5758574999999999,0.012107499999999993,0.012877499999999986,274.79339006,0,0.63841197577928,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_11_4,0.5727500000000001,0.6199950000000001,0.94739974,-0.033968188,0.020600129,0.5769299999999999,0.65998,0.015242499999999992,0.015765,274.69084946,0,0.14110009741164975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_11_5,0.5769025000000001,0.6164475,0.9469944,-0.03597289,0.027662922,0.5472025,0.6418575,0.014197500000000002,0.014940000000000009,274.72502966,0,0.4195370835342007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_11_6,0.5520149999999999,0.5754174999999999,0.90852565,-0.037854705,0.03262331,0.51203,0.6016524999999999,0.013124999999999998,0.014142500000000002,274.783136,0,0.729344624584713,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_11_7,0.5520149999999999,0.5754174999999999,0.90852565,-0.037854705,0.03262331,0.51203,0.6016524999999999,0.013124999999999998,0.014142500000000002,274.783136,0,0.2607786854783487,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_12_0,0.8790175,0.883005,0.8496367,-0.036034163,0.02422665,0.8412325,0.9041250000000001,0.07178249999999997,0.08044499999999999,271.09851044,0,0.32119535916978503,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_12_1,0.87778,0.8838025,0.85029465,-0.035005055,0.024073718,0.8422500000000002,0.9033550000000001,0.0715075,0.0810225,271.03356806,0,0.17095636988752305,"{""type"":""MultiPoint"",""coordinates"":[]}"
